"Area name","Area code","Area type","Specimen date","Daily lab-confirmed cases","Cumulative lab-confirmed cases"
"Cheshire East","E06000049","Upper tier local authority","2020-04-13",1,433
"Cheshire West and Chester","E06000050","Upper tier local authority","2020-04-13",0,423
"City of London","E09000001","Upper tier local authority","2020-04-13",0,13
"Cornwall and Isles of Scilly","E06000052","Upper tier local authority","2020-04-13",9,321
"County Durham","E06000047","Upper tier local authority","2020-04-13",0,690
"Coventry","E08000026","Upper tier local authority","2020-04-13",0,399
"Croydon","E09000008","Upper tier local authority","2020-04-13",0,982
"Cumbria","E10000006","Upper tier local authority","2020-04-13",0,1236
"Darlington","E06000005","Upper tier local authority","2020-04-13",0,143
"Derby","E06000015","Upper tier local authority","2020-04-13",0,367
"Derbyshire","E10000007","Upper tier local authority","2020-04-13",0,755
"Devon","E10000008","Upper tier local authority","2020-04-13",2,396
"Doncaster","E08000017","Upper tier local authority","2020-04-13",0,208
"Dorset","E06000059","Upper tier local authority","2020-04-13",0,203
"Dudley","E08000027","Upper tier local authority","2020-04-13",0,459
"Ealing","E09000009","Upper tier local authority","2020-04-13",0,750
"East Riding of Yorkshire","E06000011","Upper tier local authority","2020-04-13",0,223
"East Sussex","E10000011","Upper tier local authority","2020-04-13",5,359
"Enfield","E09000010","Upper tier local authority","2020-04-13",0,552
"Essex","E10000012","Upper tier local authority","2020-04-13",0,1562
"Gateshead","E08000037","Upper tier local authority","2020-04-13",0,445
"Gloucestershire","E10000013","Upper tier local authority","2020-04-13",0,701
"Greenwich","E09000011","Upper tier local authority","2020-04-13",0,480
"Hackney","E09000012","Upper tier local authority","2020-04-13",0,503
"Halton","E06000006","Upper tier local authority","2020-04-13",0,207
"Hammersmith and Fulham","E09000013","Upper tier local authority","2020-04-13",0,387
"Hampshire","E10000014","Upper tier local authority","2020-04-13",12,1678
"Haringey","E09000014","Upper tier local authority","2020-04-13",0,410
"Harrow","E09000015","Upper tier local authority","2020-04-13",0,666
"Hartlepool","E06000001","Upper tier local authority","2020-04-13",0,74
"Havering","E09000016","Upper tier local authority","2020-04-13",0,465
"Herefordshire, County of","E06000019","Upper tier local authority","2020-04-13",0,113
"Hertfordshire","E10000015","Upper tier local authority","2020-04-13",0,1523
"Hillingdon","E09000017","Upper tier local authority","2020-04-13",0,520
"Hounslow","E09000018","Upper tier local authority","2020-04-13",0,485
"Isle of Wight","E06000046","Upper tier local authority","2020-04-13",0,53
"Islington","E09000019","Upper tier local authority","2020-04-13",0,326
"Kensington and Chelsea","E09000020","Upper tier local authority","2020-04-13",0,363
"Kent","E10000016","Upper tier local authority","2020-04-13",0,1689
"Kingston upon Hull, City of","E06000010","Upper tier local authority","2020-04-13",0,135
"Kingston upon Thames","E09000021","Upper tier local authority","2020-04-13",0,294
"Kirklees","E08000034","Upper tier local authority","2020-04-13",8,354
"Knowsley","E08000011","Upper tier local authority","2020-04-13",1,316
"Lambeth","E09000022","Upper tier local authority","2020-04-13",0,908
"Lancashire","E10000017","Upper tier local authority","2020-04-13",1,1632
"Leeds","E08000035","Upper tier local authority","2020-04-13",0,734
"Leicester","E06000016","Upper tier local authority","2020-04-13",9,409
"Leicestershire","E10000018","Upper tier local authority","2020-04-13",6,553
"Lewisham","E09000023","Upper tier local authority","2020-04-13",0,700
"Lincolnshire","E10000019","Upper tier local authority","2020-04-13",0,480
"Liverpool","E08000012","Upper tier local authority","2020-04-13",0,946
"Luton","E06000032","Upper tier local authority","2020-04-13",0,367
"Manchester","E08000003","Upper tier local authority","2020-04-13",0,694
"Medway","E06000035","Upper tier local authority","2020-04-13",0,389
"Merton","E09000024","Upper tier local authority","2020-04-13",0,488
"Middlesbrough","E06000002","Upper tier local authority","2020-04-13",0,291
"Milton Keynes","E06000042","Upper tier local authority","2020-04-13",0,292
"Newcastle upon Tyne","E08000021","Upper tier local authority","2020-04-13",0,592
"Newham","E09000025","Upper tier local authority","2020-04-13",1,775
"Norfolk","E10000020","Upper tier local authority","2020-04-13",0,699
"North East Lincolnshire","E06000012","Upper tier local authority","2020-04-13",0,79
"North Lincolnshire","E06000013","Upper tier local authority","2020-04-13",0,124
"North Somerset","E06000024","Upper tier local authority","2020-04-13",1,120
"North Tyneside","E08000022","Upper tier local authority","2020-04-13",0,312
"North Yorkshire","E10000023","Upper tier local authority","2020-04-13",0,486
"Northamptonshire","E10000021","Upper tier local authority","2020-04-13",0,748
"Northumberland","E06000057","Upper tier local authority","2020-04-13",0,420
"Nottingham","E06000018","Upper tier local authority","2020-04-13",11,330
"Nottinghamshire","E10000024","Upper tier local authority","2020-04-13",4,678
"Oldham","E08000004","Upper tier local authority","2020-04-13",0,359
"Oxfordshire","E10000025","Upper tier local authority","2020-04-13",0,890
"Peterborough","E06000031","Upper tier local authority","2020-04-13",0,103
"Plymouth","E06000026","Upper tier local authority","2020-04-13",1,150
"Portsmouth","E06000044","Upper tier local authority","2020-04-13",0,189
"Reading","E06000038","Upper tier local authority","2020-04-13",0,163
"Redbridge","E09000026","Upper tier local authority","2020-04-13",1,512
"Redcar and Cleveland","E06000003","Upper tier local authority","2020-04-13",0,173
"Richmond upon Thames","E09000027","Upper tier local authority","2020-04-13",0,281
"Rochdale","E08000005","Upper tier local authority","2020-04-13",0,271
"Rotherham","E08000018","Upper tier local authority","2020-04-13",0,364
"Rutland","E06000017","Upper tier local authority","2020-04-13",1,11
"Salford","E08000006","Upper tier local authority","2020-04-13",0,362
"Sandwell","E08000028","Upper tier local authority","2020-04-13",0,555
"Sefton","E08000014","Upper tier local authority","2020-04-13",0,508
"Sheffield","E08000019","Upper tier local authority","2020-04-13",7,1316
"Shropshire","E06000051","Upper tier local authority","2020-04-13",0,252
"Slough","E06000039","Upper tier local authority","2020-04-13",0,209
"Solihull","E08000029","Upper tier local authority","2020-04-13",0,358
"Somerset","E10000027","Upper tier local authority","2020-04-13",0,212
"South Gloucestershire","E06000025","Upper tier local authority","2020-04-13",0,219
"South Tyneside","E08000023","Upper tier local authority","2020-04-13",0,217
"Southampton","E06000045","Upper tier local authority","2020-04-13",0,261
"Southend-on-Sea","E06000033","Upper tier local authority","2020-04-13",0,220
"Southwark","E09000028","Upper tier local authority","2020-04-13",0,957
"St. Helens","E08000013","Upper tier local authority","2020-04-13",1,389
"Staffordshire","E10000028","Upper tier local authority","2020-04-13",7,970
"Stockport","E08000007","Upper tier local authority","2020-04-13",0,491
"Stockton-on-Tees","E06000004","Upper tier local authority","2020-04-13",0,201
"Stoke-on-Trent","E06000021","Upper tier local authority","2020-04-13",2,210
"Suffolk","E10000029","Upper tier local authority","2020-04-13",0,493
"Sunderland","E08000024","Upper tier local authority","2020-04-13",0,647
"Surrey","E10000030","Upper tier local authority","2020-04-13",0,1441
"Sutton","E09000029","Upper tier local authority","2020-04-13",0,427
"Swindon","E06000030","Upper tier local authority","2020-04-13",0,187
"Tameside","E08000008","Upper tier local authority","2020-04-13",0,285
"Telford and Wrekin","E06000020","Upper tier local authority","2020-04-13",0,137
"Thurrock","E06000034","Upper tier local authority","2020-04-13",0,195
"Torbay","E06000027","Upper tier local authority","2020-04-13",1,101
"Tower Hamlets","E09000030","Upper tier local authority","2020-04-13",3,496
"Trafford","E08000009","Upper tier local authority","2020-04-13",0,382
"Wakefield","E08000036","Upper tier local authority","2020-04-13",0,335
"Walsall","E08000030","Upper tier local authority","2020-04-13",0,574
"Waltham Forest","E09000031","Upper tier local authority","2020-04-13",1,553
"Wandsworth","E09000032","Upper tier local authority","2020-04-13",0,730
"Warrington","E06000007","Upper tier local authority","2020-04-13",0,343
"Warwickshire","E10000031","Upper tier local authority","2020-04-13",0,649
"West Berkshire","E06000037","Upper tier local authority","2020-04-13",0,148
"West Sussex","E10000032","Upper tier local authority","2020-04-13",0,459
"Westminster","E09000033","Upper tier local authority","2020-04-13",0,491
"Wigan","E08000010","Upper tier local authority","2020-04-13",0,320
"Wiltshire","E06000054","Upper tier local authority","2020-04-13",0,245
"Windsor and Maidenhead","E06000040","Upper tier local authority","2020-04-13",0,142
"Wirral","E08000015","Upper tier local authority","2020-04-13",0,560
"Wokingham","E06000041","Upper tier local authority","2020-04-13",0,155
"Wolverhampton","E08000031","Upper tier local authority","2020-04-13",0,462
"Worcestershire","E10000034","Upper tier local authority","2020-04-13",0,634
"York","E06000014","Upper tier local authority","2020-04-13",0,129
"England","E92000001","Country","2020-04-12",831,73079
"West Midlands","E12000005","Region","2020-04-12",60,7647
"East of England","E12000006","Region","2020-04-12",54,6089
"North West","E12000002","Region","2020-04-12",103,11132
"East Midlands","E12000004","Region","2020-04-12",61,4300
"South West","E12000009","Region","2020-04-12",85,3564
"London","E12000007","Region","2020-04-12",178,18466
"Yorkshire and The Humber","E12000003","Region","2020-04-12",107,5462
"North East","E12000001","Region","2020-04-12",45,4205
"South East","E12000008","Region","2020-04-12",104,9317
"Barking and Dagenham","E09000002","Upper tier local authority","2020-04-12",6,328
"Barnet","E09000003","Upper tier local authority","2020-04-12",8,961
"Barnsley","E08000016","Upper tier local authority","2020-04-12",18,372
"Bath and North East Somerset","E06000022","Upper tier local authority","2020-04-12",1,131
"Bedford","E06000055","Upper tier local authority","2020-04-12",1,239
"Bexley","E09000004","Upper tier local authority","2020-04-12",6,431
"Birmingham","E08000025","Upper tier local authority","2020-04-12",2,1884
"Bolton","E08000001","Upper tier local authority","2020-04-12",5,400
"Bournemouth, Christchurch and Poole","E06000058","Upper tier local authority","2020-04-12",9,238
"Bracknell Forest","E06000036","Upper tier local authority","2020-04-12",1,107
"Bradford","E08000032","Upper tier local authority","2020-04-12",6,467
"Brent","E09000005","Upper tier local authority","2020-04-12",7,1037
"Brighton and Hove","E06000043","Upper tier local authority","2020-04-12",2,218
"Bristol, City of","E06000023","Upper tier local authority","2020-04-12",9,354
"Bromley","E09000006","Upper tier local authority","2020-04-12",3,766
"Buckinghamshire","E10000002","Upper tier local authority","2020-04-12",1,492
"Bury","E08000002","Upper tier local authority","2020-04-12",4,253
"Calderdale","E08000033","Upper tier local authority","2020-04-12",8,151
"Cambridgeshire","E10000003","Upper tier local authority","2020-04-12",5,399
"Camden","E09000007","Upper tier local authority","2020-04-12",5,435
"Central Bedfordshire","E06000056","Upper tier local authority","2020-04-12",6,289
"Cheshire East","E06000049","Upper tier local authority","2020-04-12",1,432
"Cornwall and Isles of Scilly","E06000052","Upper tier local authority","2020-04-12",12,312
"County Durham","E06000047","Upper tier local authority","2020-04-12",10,690
"Cumbria","E10000006","Upper tier local authority","2020-04-12",4,1236
"Darlington","E06000005","Upper tier local authority","2020-04-12",9,143
"Derby","E06000015","Upper tier local authority","2020-04-12",3,367
"Derbyshire","E10000007","Upper tier local authority","2020-04-12",7,755
"Devon","E10000008","Upper tier local authority","2020-04-12",16,394
"Doncaster","E08000017","Upper tier local authority","2020-04-12",2,208
"Dorset","E06000059","Upper tier local authority","2020-04-12",1,203
"Ealing","E09000009","Upper tier local authority","2020-04-12",4,750
"East Sussex","E10000011","Upper tier local authority","2020-04-12",9,354
"Enfield","E09000010","Upper tier local authority","2020-04-12",17,552
"Essex","E10000012","Upper tier local authority","2020-04-12",9,1562
"Gateshead","E08000037","Upper tier local authority","2020-04-12",1,445
"Gloucestershire","E10000013","Upper tier local authority","2020-04-12",16,701
"Greenwich","E09000011","Upper tier local authority","2020-04-12",12,480
"Hackney","E09000012","Upper tier local authority","2020-04-12",4,503
"Halton","E06000006","Upper tier local authority","2020-04-12",1,207
"Hammersmith and Fulham","E09000013","Upper tier local authority","2020-04-12",1,387
"Hampshire","E10000014","Upper tier local authority","2020-04-12",40,1666
"Haringey","E09000014","Upper tier local authority","2020-04-12",7,410
"Harrow","E09000015","Upper tier local authority","2020-04-12",4,666
"Havering","E09000016","Upper tier local authority","2020-04-12",8,465
"Herefordshire, County of","E06000019","Upper tier local authority","2020-04-12",7,113
"Hertfordshire","E10000015","Upper tier local authority","2020-04-12",15,1523
"Hillingdon","E09000017","Upper tier local authority","2020-04-12",5,520
"Hounslow","E09000018","Upper tier local authority","2020-04-12",6,485
"Islington","E09000019","Upper tier local authority","2020-04-12",3,326
"Kensington and Chelsea","E09000020","Upper tier local authority","2020-04-12",2,363
"Kent","E10000016","Upper tier local authority","2020-04-12",27,1689
"Kirklees","E08000034","Upper tier local authority","2020-04-12",4,346
"Knowsley","E08000011","Upper tier local authority","2020-04-12",7,315
"Lambeth","E09000022","Upper tier local authority","2020-04-12",3,908
"Lancashire","E10000017","Upper tier local authority","2020-04-12",8,1631
"Leeds","E08000035","Upper tier local authority","2020-04-12",2,734
"Leicester","E06000016","Upper tier local authority","2020-04-12",13,400
"Leicestershire","E10000018","Upper tier local authority","2020-04-12",2,547
"Lewisham","E09000023","Upper tier local authority","2020-04-12",9,700
"Lincolnshire","E10000019","Upper tier local authority","2020-04-12",6,480
"Liverpool","E08000012","Upper tier local authority","2020-04-12",21,946
"Manchester","E08000003","Upper tier local authority","2020-04-12",11,694
"Medway","E06000035","Upper tier local authority","2020-04-12",1,389
"Middlesbrough","E06000002","Upper tier local authority","2020-04-12",4,291
"Newcastle upon Tyne","E08000021","Upper tier local authority","2020-04-12",5,592
"Newham","E09000025","Upper tier local authority","2020-04-12",13,774
"Norfolk","E10000020","Upper tier local authority","2020-04-12",8,699
"North Lincolnshire","E06000013","Upper tier local authority","2020-04-12",1,124
"North Tyneside","E08000022","Upper tier local authority","2020-04-12",1,312
"North Yorkshire","E10000023","Upper tier local authority","2020-04-12",2,486
"Northamptonshire","E10000021","Upper tier local authority","2020-04-12",10,748
"Northumberland","E06000057","Upper tier local authority","2020-04-12",14,420
"Nottingham","E06000018","Upper tier local authority","2020-04-12",10,319
"Nottinghamshire","E10000024","Upper tier local authority","2020-04-12",10,674
"Oldham","E08000004","Upper tier local authority","2020-04-12",5,359
"Oxfordshire","E10000025","Upper tier local authority","2020-04-12",4,890
"Plymouth","E06000026","Upper tier local authority","2020-04-12",7,149
"Portsmouth","E06000044","Upper tier local authority","2020-04-12",6,189
"Redbridge","E09000026","Upper tier local authority","2020-04-12",7,511
"Redcar and Cleveland","E06000003","Upper tier local authority","2020-04-12",1,173
"Richmond upon Thames","E09000027","Upper tier local authority","2020-04-12",2,281
"Rochdale","E08000005","Upper tier local authority","2020-04-12",1,271
"Rotherham","E08000018","Upper tier local authority","2020-04-12",15,364
"Salford","E08000006","Upper tier local authority","2020-04-12",2,362
"Sefton","E08000014","Upper tier local authority","2020-04-12",16,508
"Sheffield","E08000019","Upper tier local authority","2020-04-12",49,1309
"Shropshire","E06000051","Upper tier local authority","2020-04-12",8,252
"Solihull","E08000029","Upper tier local authority","2020-04-12",2,358
"Somerset","E10000027","Upper tier local authority","2020-04-12",3,212
"South Gloucestershire","E06000025","Upper tier local authority","2020-04-12",2,219
"Southampton","E06000045","Upper tier local authority","2020-04-12",3,261
"Southend-on-Sea","E06000033","Upper tier local authority","2020-04-12",4,220
"Southwark","E09000028","Upper tier local authority","2020-04-12",5,957
"St. Helens","E08000013","Upper tier local authority","2020-04-12",12,388
"Staffordshire","E10000028","Upper tier local authority","2020-04-12",21,963
"Stoke-on-Trent","E06000021","Upper tier local authority","2020-04-12",9,208
"Suffolk","E10000029","Upper tier local authority","2020-04-12",6,493
"Surrey","E10000030","Upper tier local authority","2020-04-12",1,1441
"Swindon","E06000030","Upper tier local authority","2020-04-12",5,187
"Tameside","E08000008","Upper tier local authority","2020-04-12",2,285
"Telford and Wrekin","E06000020","Upper tier local authority","2020-04-12",2,137
"Torbay","E06000027","Upper tier local authority","2020-04-12",2,100
"Tower Hamlets","E09000030","Upper tier local authority","2020-04-12",10,493
"Walsall","E08000030","Upper tier local authority","2020-04-12",3,574
"Waltham Forest","E09000031","Upper tier local authority","2020-04-12",15,552
"Wandsworth","E09000032","Upper tier local authority","2020-04-12",1,730
"Warrington","E06000007","Upper tier local authority","2020-04-12",2,343
"West Berkshire","E06000037","Upper tier local authority","2020-04-12",1,148
"West Sussex","E10000032","Upper tier local authority","2020-04-12",7,459
"Westminster","E09000033","Upper tier local authority","2020-04-12",5,491
"Wigan","E08000010","Upper tier local authority","2020-04-12",1,320
"Wiltshire","E06000054","Upper tier local authority","2020-04-12",2,245
"Wokingham","E06000041","Upper tier local authority","2020-04-12",1,155
"Wolverhampton","E08000031","Upper tier local authority","2020-04-12",6,462
"England","E92000001","Country","2020-04-11",2154,72248
"West Midlands","E12000005","Region","2020-04-11",156,7587
"East of England","E12000006","Region","2020-04-11",204,6035
"North West","E12000002","Region","2020-04-11",448,11029
"East Midlands","E12000004","Region","2020-04-11",145,4239
"South West","E12000009","Region","2020-04-11",162,3479
"London","E12000007","Region","2020-04-11",379,18288
"Yorkshire and The Humber","E12000003","Region","2020-04-11",166,5355
"North East","E12000001","Region","2020-04-11",189,4160
"South East","E12000008","Region","2020-04-11",198,9213
"Barking and Dagenham","E09000002","Upper tier local authority","2020-04-11",3,322
"Barnet","E09000003","Upper tier local authority","2020-04-11",18,953
"Barnsley","E08000016","Upper tier local authority","2020-04-11",22,354
"Bath and North East Somerset","E06000022","Upper tier local authority","2020-04-11",9,130
"Bedford","E06000055","Upper tier local authority","2020-04-11",9,238
"Bexley","E09000004","Upper tier local authority","2020-04-11",13,425
"Birmingham","E08000025","Upper tier local authority","2020-04-11",20,1882
"Blackburn with Darwen","E06000008","Upper tier local authority","2020-04-11",9,164
"Blackpool","E06000009","Upper tier local authority","2020-04-11",15,162
"Bolton","E08000001","Upper tier local authority","2020-04-11",18,395
"Bournemouth, Christchurch and Poole","E06000058","Upper tier local authority","2020-04-11",7,229
"Bracknell Forest","E06000036","Upper tier local authority","2020-04-11",1,106
"Bradford","E08000032","Upper tier local authority","2020-04-11",17,461
"Brent","E09000005","Upper tier local authority","2020-04-11",21,1030
"Brighton and Hove","E06000043","Upper tier local authority","2020-04-11",7,216
"Bristol, City of","E06000023","Upper tier local authority","2020-04-11",26,345
"Bromley","E09000006","Upper tier local authority","2020-04-11",21,763
"Buckinghamshire","E10000002","Upper tier local authority","2020-04-11",11,491
"Bury","E08000002","Upper tier local authority","2020-04-11",16,249
"Calderdale","E08000033","Upper tier local authority","2020-04-11",3,143
"Cambridgeshire","E10000003","Upper tier local authority","2020-04-11",16,394
"Camden","E09000007","Upper tier local authority","2020-04-11",9,430
"Central Bedfordshire","E06000056","Upper tier local authority","2020-04-11",9,283
"Cheshire East","E06000049","Upper tier local authority","2020-04-11",25,431
"Cheshire West and Chester","E06000050","Upper tier local authority","2020-04-11",6,423
"Cornwall and Isles of Scilly","E06000052","Upper tier local authority","2020-04-11",13,300
"County Durham","E06000047","Upper tier local authority","2020-04-11",38,680
"Coventry","E08000026","Upper tier local authority","2020-04-11",4,399
"Croydon","E09000008","Upper tier local authority","2020-04-11",3,982
"Cumbria","E10000006","Upper tier local authority","2020-04-11",16,1232
"Darlington","E06000005","Upper tier local authority","2020-04-11",9,134
"Derby","E06000015","Upper tier local authority","2020-04-11",12,364
"Derbyshire","E10000007","Upper tier local authority","2020-04-11",13,748
"Devon","E10000008","Upper tier local authority","2020-04-11",15,378
"Doncaster","E08000017","Upper tier local authority","2020-04-11",3,206
"Dorset","E06000059","Upper tier local authority","2020-04-11",5,202
"Dudley","E08000027","Upper tier local authority","2020-04-11",18,459
"Ealing","E09000009","Upper tier local authority","2020-04-11",25,746
"East Riding of Yorkshire","E06000011","Upper tier local authority","2020-04-11",6,223
"East Sussex","E10000011","Upper tier local authority","2020-04-11",11,345
"Enfield","E09000010","Upper tier local authority","2020-04-11",19,535
"Essex","E10000012","Upper tier local authority","2020-04-11",41,1553
"Gateshead","E08000037","Upper tier local authority","2020-04-11",20,444
"Gloucestershire","E10000013","Upper tier local authority","2020-04-11",31,685
"Greenwich","E09000011","Upper tier local authority","2020-04-11",9,468
"Hackney","E09000012","Upper tier local authority","2020-04-11",14,499
"Halton","E06000006","Upper tier local authority","2020-04-11",7,206
"Hammersmith and Fulham","E09000013","Upper tier local authority","2020-04-11",3,386
"Hampshire","E10000014","Upper tier local authority","2020-04-11",33,1626
"Haringey","E09000014","Upper tier local authority","2020-04-11",8,403
"Harrow","E09000015","Upper tier local authority","2020-04-11",13,662
"Havering","E09000016","Upper tier local authority","2020-04-11",13,457
"Herefordshire, County of","E06000019","Upper tier local authority","2020-04-11",6,106
"Hertfordshire","E10000015","Upper tier local authority","2020-04-11",46,1508
"Hillingdon","E09000017","Upper tier local authority","2020-04-11",15,515
"Hounslow","E09000018","Upper tier local authority","2020-04-11",9,479
"Isle of Wight","E06000046","Upper tier local authority","2020-04-11",2,53
"Islington","E09000019","Upper tier local authority","2020-04-11",3,323
"Kensington and Chelsea","E09000020","Upper tier local authority","2020-04-11",3,361
"Kent","E10000016","Upper tier local authority","2020-04-11",49,1662
"Kingston upon Hull, City of","E06000010","Upper tier local authority","2020-04-11",13,135
"Kirklees","E08000034","Upper tier local authority","2020-04-11",12,342
"Knowsley","E08000011","Upper tier local authority","2020-04-11",11,308
"Lambeth","E09000022","Upper tier local authority","2020-04-11",38,905
"Lancashire","E10000017","Upper tier local authority","2020-04-11",84,1623
"Leeds","E08000035","Upper tier local authority","2020-04-11",32,732
"Leicester","E06000016","Upper tier local authority","2020-04-11",17,387
"Leicestershire","E10000018","Upper tier local authority","2020-04-11",23,545
"Lewisham","E09000023","Upper tier local authority","2020-04-11",12,691
"Lincolnshire","E10000019","Upper tier local authority","2020-04-11",21,474
"Liverpool","E08000012","Upper tier local authority","2020-04-11",38,925
"Luton","E06000032","Upper tier local authority","2020-04-11",7,367
"Manchester","E08000003","Upper tier local authority","2020-04-11",38,683
"Medway","E06000035","Upper tier local authority","2020-04-11",15,388
"Merton","E09000024","Upper tier local authority","2020-04-11",4,488
"Middlesbrough","E06000002","Upper tier local authority","2020-04-11",15,287
"Milton Keynes","E06000042","Upper tier local authority","2020-04-11",1,292
"Newcastle upon Tyne","E08000021","Upper tier local authority","2020-04-11",19,587
"Newham","E09000025","Upper tier local authority","2020-04-11",27,761
"Norfolk","E10000020","Upper tier local authority","2020-04-11",49,691
"North East Lincolnshire","E06000012","Upper tier local authority","2020-04-11",5,79
"North Lincolnshire","E06000013","Upper tier local authority","2020-04-11",16,123
"North Somerset","E06000024","Upper tier local authority","2020-04-11",6,119
"North Tyneside","E08000022","Upper tier local authority","2020-04-11",14,311
"North Yorkshire","E10000023","Upper tier local authority","2020-04-11",14,484
"Northamptonshire","E10000021","Upper tier local authority","2020-04-11",30,738
"Northumberland","E06000057","Upper tier local authority","2020-04-11",29,406
"Nottingham","E06000018","Upper tier local authority","2020-04-11",12,309
"Nottinghamshire","E10000024","Upper tier local authority","2020-04-11",17,664
"Oldham","E08000004","Upper tier local authority","2020-04-11",22,354
"Oxfordshire","E10000025","Upper tier local authority","2020-04-11",14,886
"Peterborough","E06000031","Upper tier local authority","2020-04-11",1,103
"Plymouth","E06000026","Upper tier local authority","2020-04-11",1,142
"Portsmouth","E06000044","Upper tier local authority","2020-04-11",13,183
"Reading","E06000038","Upper tier local authority","2020-04-11",1,163
"Redbridge","E09000026","Upper tier local authority","2020-04-11",7,504
"Redcar and Cleveland","E06000003","Upper tier local authority","2020-04-11",16,172
"Richmond upon Thames","E09000027","Upper tier local authority","2020-04-11",3,279
"Rochdale","E08000005","Upper tier local authority","2020-04-11",4,270
"Rotherham","E08000018","Upper tier local authority","2020-04-11",8,349
"Salford","E08000006","Upper tier local authority","2020-04-11",10,360
"Sandwell","E08000028","Upper tier local authority","2020-04-11",2,555
"Sefton","E08000014","Upper tier local authority","2020-04-11",25,492
"Sheffield","E08000019","Upper tier local authority","2020-04-11",9,1260
"Shropshire","E06000051","Upper tier local authority","2020-04-11",8,244
"Slough","E06000039","Upper tier local authority","2020-04-11",1,209
"Solihull","E08000029","Upper tier local authority","2020-04-11",9,356
"Somerset","E10000027","Upper tier local authority","2020-04-11",17,209
"South Gloucestershire","E06000025","Upper tier local authority","2020-04-11",6,217
"South Tyneside","E08000023","Upper tier local authority","2020-04-11",4,217
"Southampton","E06000045","Upper tier local authority","2020-04-11",6,258
"Southend-on-Sea","E06000033","Upper tier local authority","2020-04-11",3,216
"Southwark","E09000028","Upper tier local authority","2020-04-11",25,952
"St. Helens","E08000013","Upper tier local authority","2020-04-11",4,376
"Staffordshire","E10000028","Upper tier local authority","2020-04-11",32,942
"Stockport","E08000007","Upper tier local authority","2020-04-11",23,491
"Stockton-on-Tees","E06000004","Upper tier local authority","2020-04-11",3,201
"Stoke-on-Trent","E06000021","Upper tier local authority","2020-04-11",9,199
"Suffolk","E10000029","Upper tier local authority","2020-04-11",15,487
"Sunderland","E08000024","Upper tier local authority","2020-04-11",22,647
"Surrey","E10000030","Upper tier local authority","2020-04-11",18,1440
"Sutton","E09000029","Upper tier local authority","2020-04-11",1,427
"Swindon","E06000030","Upper tier local authority","2020-04-11",14,182
"Tameside","E08000008","Upper tier local authority","2020-04-11",5,283
"Telford and Wrekin","E06000020","Upper tier local authority","2020-04-11",2,135
"Thurrock","E06000034","Upper tier local authority","2020-04-11",8,195
"Torbay","E06000027","Upper tier local authority","2020-04-11",1,98
"Tower Hamlets","E09000030","Upper tier local authority","2020-04-11",11,483
"Trafford","E08000009","Upper tier local authority","2020-04-11",13,382
"Wakefield","E08000036","Upper tier local authority","2020-04-11",4,335
"Walsall","E08000030","Upper tier local authority","2020-04-11",8,571
"Waltham Forest","E09000031","Upper tier local authority","2020-04-11",15,537
"Wandsworth","E09000032","Upper tier local authority","2020-04-11",5,729
"Warrington","E06000007","Upper tier local authority","2020-04-11",11,341
"Warwickshire","E10000031","Upper tier local authority","2020-04-11",13,649
"West Berkshire","E06000037","Upper tier local authority","2020-04-11",2,147
